"year","county","make","model","fuel_type","sales"
2023,"Alameda","Alfa Romeo","Tonale","PHEV",2
2023,"Alameda","Audi","Q4 e-tron","Electric",141
2023,"Alameda","Audi","Q4 e-tron Sportback","Electric",31
2023,"Alameda","Audi","Q5","PHEV",43
2023,"Alameda","Audi","Q8 e-tron","Electric",72
2023,"Alameda","Audi","Q8 e-tron Sportback","Electric",20
2023,"Alameda","Audi","RS e-tron GT","Electric",7
2023,"Alameda","Audi","SQ8 e-tron Sportback","Electric",1
2023,"Alameda","Audi","e-tron","Electric",18
2023,"Alameda","Audi","e-tron GT","Electric",18
2023,"Alameda","Audi","e-tron S","Electric",4
2023,"Alameda","Audi","e-tron S Sportback","Electric",1
2023,"Alameda","Audi","e-tron Sportback","Electric",5
2023,"Alameda","BMW","3 Series","PHEV",57
2023,"Alameda","BMW","5 Series","PHEV",56
2023,"Alameda","BMW","7 Series","PHEV",1
2023,"Alameda","BMW","X5","PHEV",203
2023,"Alameda","BMW","XM","PHEV",4
2023,"Alameda","BMW","i4","Electric",460
2023,"Alameda","BMW","i5","Electric",8
2023,"Alameda","BMW","i7","Electric",20
2023,"Alameda","BMW","iX","Electric",237
2023,"Alameda","Cadillac","LYRIQ","Electric",65
2023,"Alameda","Chevrolet","Blazer EV","Electric",1
2023,"Alameda","Chevrolet","Bolt EUV","Electric",804
2023,"Alameda","Chevrolet","Bolt EV","Electric",405
2023,"Alameda","Chrysler","Pacifica Hybrid","PHEV",40
2023,"Alameda","Chrysler","Pacifica Plug-In Hybrid","PHEV",91
2023,"Alameda","Dodge","Hornet","PHEV",1
2023,"Alameda","Ferrari","296 GTB","PHEV",2
2023,"Alameda","Fisker","Ocean","Electric",41
2023,"Alameda","Ford","E-Transit","Electric",19
2023,"Alameda","Ford","Escape Plug-In Hybrid","PHEV",60
2023,"Alameda","Ford","F-150 Lightning","Electric",152
2023,"Alameda","Ford","Mustang Mach-E","Electric",707
2023,"Alameda","GMC","HUMMER EV","Electric",4
2023,"Alameda","Genesis","Electrified G80","Electric",2
2023,"Alameda","Genesis","Electrified GV70","Electric",14
2023,"Alameda","Genesis","GV60","Electric",37
2023,"Alameda","Hyundai","IONIQ 5","Electric",483
2023,"Alameda","Hyundai","IONIQ 6","Electric",165
2023,"Alameda","Hyundai","KONA Electric","Electric",235
2023,"Alameda","Hyundai","NEXO","Hydrogen",13
2023,"Alameda","Hyundai","SANTA FE Plug-In Hybrid","PHEV",40
2023,"Alameda","Hyundai","TUCSON Plug-in Hybrid","PHEV",73
2023,"Alameda","Jaguar","I-PACE","Electric",1
2023,"Alameda","Jeep","Grand Cherokee","PHEV",73
2023,"Alameda","Jeep","Wrangler","PHEV",220
2023,"Alameda","Jeep","Wrangler Unlimited","PHEV",13
2023,"Alameda","Kia","EV6","Electric",187
2023,"Alameda","Kia","EV9","Electric",3
2023,"Alameda","Kia","Niro EV","Electric",385
2023,"Alameda","Kia","Niro Plug-In Hybrid","PHEV",39
2023,"Alameda","Kia","Sorento Plug-In Hybrid","PHEV",36
2023,"Alameda","Kia","Sportage Plug-In Hybrid","PHEV",82
2023,"Alameda","Land Rover","Range Rover","PHEV",1
2023,"Alameda","Land Rover","Range Rover Sport","PHEV",2
2023,"Alameda","Lexus","NX 450h+","PHEV",104
2023,"Alameda","Lexus","RX 450h+","PHEV",7
2023,"Alameda","Lexus","RZ 450e","Electric",66
2023,"Alameda","Lincoln","Aviator","PHEV",8
2023,"Alameda","Lincoln","Corsair","PHEV",9
2023,"Alameda","Lucid","Air","Electric",138
2023,"Alameda","MINI","Countryman Plug-in Hybrid","PHEV",9
2023,"Alameda","MINI","Hardtop 2 Door","Electric",58
2023,"Alameda","Mazda","CX-90 PHEV","PHEV",96
2023,"Alameda","Mazda","MX-30 EV","Electric",5
2023,"Alameda","McLaren","Artura","PHEV",2
2023,"Alameda","Mercedes-Benz","EQB","Electric",256
2023,"Alameda","Mercedes-Benz","EQE","Electric",293
2023,"Alameda","Mercedes-Benz","EQS","Electric",210
2023,"Alameda","Mercedes-Benz","GLE","PHEV",21
2023,"Alameda","Mercedes-Benz","S-Class","PHEV",1
2023,"Alameda","Mitsubishi","Outlander PHEV","PHEV",49
2023,"Alameda","Nissan","Ariya","Electric",158
2023,"Alameda","Nissan","LEAF","Electric",115
2023,"Alameda","Polestar","2","Electric",69
2023,"Alameda","Porsche","Cayenne","PHEV",2
2023,"Alameda","Porsche","Panamera","PHEV",2
2023,"Alameda","Porsche","Taycan","Electric",84
2023,"Alameda","Rivian","EDV 500","Electric",12
2023,"Alameda","Rivian","EDV 700","Electric",75
2023,"Alameda","Rivian","R1S","Electric",399
2023,"Alameda","Rivian","R1T","Electric",155
2023,"Alameda","Subaru","Crosstrek","PHEV",26
2023,"Alameda","Tesla","Model 3","Electric",4285
2023,"Alameda","Tesla","Model S","Electric",230
2023,"Alameda","Tesla","Model X","Electric",687
2023,"Alameda","Tesla","Model Y","Electric",9597
2023,"Alameda","Toyota","Mirai","Hydrogen",115
2023,"Alameda","Toyota","Prius Prime","PHEV",155
2023,"Alameda","Toyota","RAV4 Prime","PHEV",339
2023,"Alameda","Toyota/Subaru","bZ4X/Solterra","Electric",277
2023,"Alameda","VinFast","VF8","Electric",8
2023,"Alameda","Volkswagen","ID.4","Electric",885
2023,"Alameda","Volvo","C40 Recharge","Electric",80
2023,"Alameda","Volvo","S60 Recharge","PHEV",13
2023,"Alameda","Volvo","S90 Recharge","PHEV",1
2023,"Alameda","Volvo","V60 Recharge","PHEV",4
2023,"Alameda","Volvo","XC40 Recharge","Electric",109
2023,"Alameda","Volvo","XC60 Recharge","PHEV",59
2023,"Alameda","Volvo","XC90 Recharge","PHEV",110
2023,"Alpine","Kia","Niro EV","Electric",1
2023,"Alpine","Rivian","R1S","Electric",1
2023,"Alpine","Subaru","Crosstrek","PHEV",1
2023,"Alpine","Tesla","Model 3","Electric",1
2023,"Alpine","Tesla","Model Y","Electric",2
2023,"Amador","Audi","e-tron","Electric",1
2023,"Amador","BMW","i4","Electric",1
2023,"Amador","Chevrolet","Bolt EUV","Electric",4
2023,"Amador","Chevrolet","Bolt EV","Electric",5
2023,"Amador","Chrysler","Pacifica Plug-In Hybrid","PHEV",2
2023,"Amador","Ford","F-150 Lightning","Electric",3
2023,"Amador","Ford","Mustang Mach-E","Electric",2
2023,"Amador","Hyundai","IONIQ 5","Electric",2
2023,"Amador","Hyundai","IONIQ 6","Electric",1
2023,"Amador","Hyundai","TUCSON Plug-in Hybrid","PHEV",1
2023,"Amador","Jeep","Grand Cherokee","PHEV",2
2023,"Amador","Jeep","Wrangler","PHEV",4
2023,"Amador","Kia","EV6","Electric",1
2023,"Amador","Kia","Niro Plug-In Hybrid","PHEV",1
2023,"Amador","Kia","Sorento Plug-In Hybrid","PHEV",2
2023,"Amador","Kia","Sportage Plug-In Hybrid","PHEV",2
2023,"Amador","Lexus","NX 450h+","PHEV",1
2023,"Amador","Mazda","CX-90 PHEV","PHEV",1
2023,"Amador","Mercedes-Benz","EQS","Electric",1
2023,"Amador","Mitsubishi","Outlander PHEV","PHEV",1
2023,"Amador","Nissan","Ariya","Electric",2
2023,"Amador","Polestar","2","Electric",1
2023,"Amador","Porsche","Taycan","Electric",1
2023,"Amador","Rivian","R1S","Electric",1
2023,"Amador","Rivian","R1T","Electric",1
2023,"Amador","Tesla","Model 3","Electric",19
2023,"Amador","Tesla","Model S","Electric",1
2023,"Amador","Tesla","Model X","Electric",1
2023,"Amador","Tesla","Model Y","Electric",27
2023,"Amador","Toyota","RAV4 Prime","PHEV",2
2023,"Amador","Toyota/Subaru","bZ4X/Solterra","Electric",6
2023,"Amador","Volkswagen","ID.4","Electric",4
2023,"Amador","Volvo","S60 Recharge","PHEV",1
2023,"Butte","Audi","Q4 e-tron","Electric",2
2023,"Butte","Audi","Q5","PHEV",2
2023,"Butte","Audi","Q8 e-tron Sportback","Electric",2
2023,"Butte","BMW","3 Series","PHEV",1
2023,"Butte","BMW","5 Series","PHEV",1
2023,"Butte","BMW","X5","PHEV",14
2023,"Butte","BMW","XM","PHEV",3
2023,"Butte","BMW","i4","Electric",3
2023,"Butte","BMW","i7","Electric",1
2023,"Butte","BMW","iX","Electric",1
2023,"Butte","Cadillac","LYRIQ","Electric",3
2023,"Butte","Chevrolet","Bolt EUV","Electric",13
2023,"Butte","Chevrolet","Bolt EV","Electric",8
2023,"Butte","Chrysler","Pacifica Plug-In Hybrid","PHEV",3
2023,"Butte","Dodge","Hornet","PHEV",1
2023,"Butte","Ferrari","SF90 Spider","PHEV",1
2023,"Butte","Ford","E-Transit","Electric",1
2023,"Butte","Ford","Escape Plug-In Hybrid","PHEV",4
2023,"Butte","Ford","F-150 Lightning","Electric",13
2023,"Butte","Ford","Mustang Mach-E","Electric",15
2023,"Butte","GMC","HUMMER EV","Electric",1
2023,"Butte","Hyundai","IONIQ 5","Electric",17
2023,"Butte","Hyundai","IONIQ 6","Electric",11
2023,"Butte","Hyundai","KONA Electric","Electric",9
2023,"Butte","Hyundai","SANTA FE Plug-In Hybrid","PHEV",9
2023,"Butte","Hyundai","TUCSON Plug-in Hybrid","PHEV",11
2023,"Butte","Jeep","Grand Cherokee","PHEV",4
2023,"Butte","Jeep","Wrangler","PHEV",15
2023,"Butte","Kia","EV6","Electric",6
2023,"Butte","Kia","EV9","Electric",1
2023,"Butte","Kia","Niro Plug-In Hybrid","PHEV",2
2023,"Butte","Kia","Sorento Plug-In Hybrid","PHEV",2
2023,"Butte","Kia","Sportage Plug-In Hybrid","PHEV",2
2023,"Butte","Lexus","NX 450h+","PHEV",2
2023,"Butte","Lexus","RX 450h+","PHEV",1
2023,"Butte","Lexus","RZ 450e","Electric",1
2023,"Butte","Lincoln","Aviator","PHEV",1
2023,"Butte","MINI","Hardtop 2 Door","Electric",2
2023,"Butte","Mazda","CX-90 PHEV","PHEV",3
2023,"Butte","Mercedes-Benz","GLE","PHEV",2
2023,"Butte","Mitsubishi","Outlander PHEV","PHEV",3
2023,"Butte","Nissan","Ariya","Electric",3
2023,"Butte","Nissan","LEAF","Electric",2
2023,"Butte","Porsche","Taycan","Electric",1
2023,"Butte","Rivian","R1S","Electric",12
2023,"Butte","Rivian","R1T","Electric",8
2023,"Butte","Subaru","Crosstrek","PHEV",1
2023,"Butte","Tesla","Model 3","Electric",96
2023,"Butte","Tesla","Model S","Electric",4
2023,"Butte","Tesla","Model X","Electric",14
2023,"Butte","Tesla","Model Y","Electric",150
2023,"Butte","Toyota","Prius Prime","PHEV",8
2023,"Butte","Toyota","RAV4 Prime","PHEV",21
2023,"Butte","Toyota/Subaru","bZ4X/Solterra","Electric",10
2023,"Butte","Volkswagen","ID.4","Electric",31
2023,"Butte","Volvo","C40 Recharge","Electric",1
2023,"Butte","Volvo","XC40 Recharge","Electric",4
2023,"Butte","Volvo","XC60 Recharge","PHEV",8
2023,"Butte","Volvo","XC90 Recharge","PHEV",5
2023,"Calaveras","Audi","Q5","PHEV",1
2023,"Calaveras","Audi","Q8 e-tron Sportback","Electric",1
2023,"Calaveras","BMW","3 Series","PHEV",1
2023,"Calaveras","BMW","X5","PHEV",1
2023,"Calaveras","BMW","i4","Electric",2
