CASE_ID,COLLISION_DATE,MONTH,HOUR,DAY_OF_WEEK,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,COUNT_PED_KILLED,COUNT_BICYCLIST_KILLED,COUNT_MC_KILLED,STWD_VEHTYPE_AT_FAULT,COUNTY
81957564,2023-01-01,1,9,7,possible injury,0,1,DUI,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,CONTRA COSTA
81957983,2023-01-01,1,8,7,possible injury,0,1,unknown,broadside,no,no,no,0,0,0,0,0,0,Not Stated,RIVERSIDE
81958138,2023-01-01,1,15,7,possible injury,0,2,traffic signs,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81958139,2023-01-01,1,2,7,possible injury,0,1,DUI,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81958141,2023-01-01,1,19,7,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81958156,2023-01-01,1,22,7,severe injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Not Stated,LOS ANGELES
81959286,2023-01-01,1,14,7,possible injury,0,1,improper turning,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,CONTRA COSTA
81959562,2023-01-01,1,10,7,severe injury,0,1,automobile right of way,other,no,yes,no,0,1,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960397,2023-01-01,1,3,7,minor injury,0,1,wrong side of road,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960399,2023-01-01,1,8,7,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960402,2023-01-01,1,0,7,minor injury,0,2,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960403,2023-01-02,1,9,1,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,ORANGE
81960404,2023-01-02,1,12,1,possible injury,0,1,other hazardous violation,broadside,no,no,yes,0,0,1,0,0,0,Passenger Car/Station Wagon,ORANGE
81960406,2023-01-02,1,17,1,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960407,2023-01-02,1,18,1,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81960439,2023-01-03,1,9,2,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
81960506,2023-01-03,1,10,2,possible injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
81960517,2023-01-02,1,22,1,possible injury,0,2,improper turning,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81960518,2023-01-03,1,14,2,possible injury,0,1,improper turning,sideswipe,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,KERN
81960519,2023-01-03,1,17,2,severe injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Pickup or Panel Truck,KERN
81960520,2023-01-03,1,19,2,minor injury,0,1,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81961289,2023-01-04,1,10,3,severe injury,0,1,improper turning,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81961387,2023-01-03,1,7,2,possible injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81961394,2023-01-03,1,6,2,possible injury,0,2,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,ORANGE
81961395,2023-01-03,1,14,2,minor injury,0,3,automobile right of way,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81961398,2023-01-04,1,18,3,possible injury,0,1,improper turning,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81961429,2023-01-03,1,17,2,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Truck or Truck Tractor,VENTURA
81961437,2023-01-02,1,15,1,possible injury,0,2,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
81961460,2023-01-02,1,23,1,possible injury,0,1,following too closely,rear end,no,no,no,0,0,0,0,0,0,Not Stated,FRESNO
81961461,2023-01-05,1,20,4,severe injury,0,1,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
81961476,2023-01-05,1,11,4,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,CONTRA COSTA
81961487,2023-01-04,1,15,3,minor injury,0,1,other than driver or pedestrian,hit object,no,yes,no,0,1,0,0,0,0,Not Stated,KERN
81961488,2023-01-04,1,16,3,possible injury,0,1,improper turning,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81961491,2023-01-05,1,8,4,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81961700,2023-01-04,1,19,3,minor injury,0,2,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN MATEO
81961993,2023-01-02,1,18,1,minor injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,SAN MATEO
81962009,2023-01-05,1,7,4,minor injury,0,1,unsafe speed,other,no,yes,no,0,1,0,0,0,0,Bicycle,SAN MATEO
81962039,2023-01-04,1,21,3,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN MATEO
81962228,2023-01-02,1,12,1,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SOLANO
81962230,2023-01-04,1,21,3,possible injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,SOLANO
81962242,2023-01-04,1,14,3,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962243,2023-01-04,1,18,3,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962244,2023-01-04,1,18,3,possible injury,0,5,unsafe speed,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962331,2023-01-02,1,9,1,minor injury,0,1,improper turning,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,STANISLAUS
81962333,2023-01-05,1,12,4,minor injury,0,2,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,STANISLAUS
81962345,2023-01-05,1,16,4,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
81962357,2023-01-03,1,17,2,possible injury,0,1,improper turning,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,CONTRA COSTA
81962359,2023-01-06,1,9,5,possible injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81962409,2023-01-05,1,8,4,possible injury,0,1,DUI,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
81962600,2023-01-01,1,11,7,minor injury,0,2,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962602,2023-01-03,1,6,2,possible injury,0,1,unknown,broadside,no,no,no,0,0,0,0,0,0,Not Stated,ORANGE
81962605,2023-01-03,1,14,2,possible injury,0,2,unsafe starting or backing,rear end,no,no,no,0,0,0,0,0,0,Pickup or Panel Truck,ORANGE
81962607,2023-01-04,1,16,3,minor injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962661,2023-01-07,1,7,6,possible injury,0,3,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81962663,2023-01-07,1,12,6,minor injury,0,2,wrong side of road,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81962765,2023-01-02,1,13,1,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN MATEO
81962859,2023-01-04,1,13,3,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81962877,2023-01-07,1,17,6,minor injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SOLANO
81962891,2023-01-02,1,0,1,minor injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,RIVERSIDE
81962892,2023-01-02,1,22,1,possible injury,0,1,other hazardous violation,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,RIVERSIDE
81962949,2023-01-08,1,0,7,severe injury,0,1,DUI,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
81963167,2023-01-07,1,8,6,minor injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81963169,2023-01-01,1,18,7,minor injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Not Stated,ORANGE
81963621,2023-01-06,1,1,5,minor injury,0,1,improper turning,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,KERN
81963868,2023-01-06,1,8,5,minor injury,0,1,automobile right of way,broadside,no,yes,no,0,1,0,0,0,0,Bicycle,ORANGE
81963931,2023-01-02,1,14,1,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,RIVERSIDE
81963932,2023-01-04,1,17,3,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,RIVERSIDE
81963946,2023-01-03,1,18,2,possible injury,0,1,following too closely,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SOLANO
81963968,2023-01-03,1,16,2,minor injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,RIVERSIDE
81963988,2023-01-07,1,14,6,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81963996,2023-01-06,1,8,5,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81963997,2023-01-06,1,14,5,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
81963998,2023-01-06,1,18,5,minor injury,0,2,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
