CASE_ID,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,NUMBER_INJURED,NUMBER_KILLED,TYPE_OF_COLLISION,PCF_VIOL_CATEGORY,STWD_VEHTYPE_AT_FAULT,INTERSECTION,LIGHTING,COUNTY
8516071,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,ALAMEDA
6617921,1,0,1,0,other,wrong side of road,Bicycle,no,daylight,SACRAMENTO
90569986,1,0,1,0,other,automobile right of way,Bicycle,yes,daylight,LOS ANGELES
6768058,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,no,daylight,ORANGE
9118664,1,0,1,0,other,traffic signs,Passenger Car/Station Wagon,yes,daylight,SOLANO
7036497,1,0,1,0,sideswipe,improper turning,Passenger Car/Station Wagon,yes,dark street lights,SAN FRANCISCO
8353003,1,0,1,0,broadside,automobile right of way,Bicycle,no,daylight,LOS ANGELES
6631218,1,0,1,0,other,DUI,Passenger Car/Station Wagon,no,daylight,SACRAMENTO
8746765,1,0,1,0,other,wrong side of road,Bicycle,yes,daylight,ORANGE
9237471,1,0,1,0,rear end,DUI,Passenger Car/Station Wagon,no,dark street lights,ORANGE
9630420,1,0,1,0,other,improper turning,Bicycle,no,dark street lights,SAN DIEGO
91856047,1,0,1,0,broadside,automobile right of way,Not Stated,no,dark no street lights,SANTA BARBARA
91986012,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,daylight,SANTA CLARA
9362905,1,0,1,0,broadside,automobile right of way,Bicycle,yes,unknown,SANTA BARBARA
81459016,1,0,1,0,other,unsafe speed,Bicycle,no,daylight,LOS ANGELES
8649761,1,0,1,0,sideswipe,other than driver or pedestrian,Not Stated,no,daylight,SAN DIEGO
82263749,1,0,1,0,broadside,unknown,Not Stated,yes,daylight,SAN LUIS OBISPO
9182948,1,0,1,0,broadside,traffic signs,Bicycle,yes,dark street lights,LOS ANGELES
8758478,1,0,1,0,other,automobile right of way,Bicycle,no,daylight,SAN DIEGO
7064325,1,0,1,0,broadside,other hazardous violation,Bicycle,no,dark street lights,LOS ANGELES
8307209,1,0,1,0,other,other hazardous violation,Not Stated,no,daylight,LOS ANGELES
8787496,1,0,1,0,head-on,unsafe speed,Bicycle,no,daylight,MONTEREY
9141779,1,0,1,0,other,unsafe speed,Bicycle,no,daylight,ALAMEDA
6861638,1,0,1,0,other,other hazardous violation,Bicycle,no,daylight,SAN BERNARDINO
9282472,1,0,1,0,head-on,automobile right of way,Passenger Car/Station Wagon,no,daylight,ORANGE
7152722,1,0,1,0,rear end,unsafe lane change,Bicycle,no,dark street lights,LOS ANGELES
8294656,1,0,1,0,unknown,wrong side of road,Bicycle,no,dark street lights,RIVERSIDE
9412928,1,0,1,0,head-on,wrong side of road,Bicycle,yes,dark street lights,LOS ANGELES
8367833,1,0,1,0,vehicle/pedestrian,traffic signs,Bicycle,yes,daylight,LOS ANGELES
8666695,1,0,1,0,head-on,wrong side of road,Bicycle,no,daylight,SAN BERNARDINO
6533667,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SAN BERNARDINO
6641859,1,0,1,0,vehicle/pedestrian,improper turning,Not Stated,yes,dark street lights,LOS ANGELES
7097691,1,0,1,0,broadside,wrong side of road,Bicycle,no,dark street lights,SAN BERNARDINO
8458267,1,0,1,0,vehicle/pedestrian,pedestrian right of way,Passenger Car/Station Wagon,no,daylight,ORANGE
6876826,1,0,1,0,sideswipe,improper turning,Not Stated,no,dusk-dawn,HUMBOLDT
9303928,1,0,1,0,sideswipe,wrong side of road,Bicycle,no,daylight,LOS ANGELES
8998110,1,0,1,0,broadside,wrong side of road,Bicycle,yes,daylight,LOS ANGELES
9496438,1,0,1,0,vehicle/pedestrian,traffic signs,Passenger Car/Station Wagon,yes,dark street lights,SAN BERNARDINO
9498436,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,ALAMEDA
6992798,1,0,1,0,rear end,unsafe speed,Passenger Car/Station Wagon,no,dark no street lights,SACRAMENTO
9351736,1,0,1,0,head-on,automobile right of way,Passenger Car/Station Wagon,yes,daylight,MARIN
6642249,1,0,1,0,rear end,unsafe speed,Bicycle,no,daylight,LOS ANGELES
8322673,1,0,1,0,other,automobile right of way,Not Stated,yes,dark street lights,KERN
8433407,1,0,1,0,other,wrong side of road,Bicycle,no,daylight,LOS ANGELES
9119210,1,0,1,0,broadside,automobile right of way,Bicycle,no,daylight,SAN DIEGO
9601261,1,0,1,0,rear end,improper turning,Passenger Car/Station Wagon,no,daylight,SAN DIEGO
8969320,1,0,1,0,broadside,traffic signs,Bicycle,yes,dusk-dawn,LOS ANGELES
6680078,1,0,2,0,vehicle/pedestrian,pedestrian violation,Pedestrian,no,daylight,LOS ANGELES
